"filename", "language", "PHP", "MS SQL", "Diff", "JavaScript", "CSS", "HTML", "SVG", "Markdown", "JSON with Comments", "comment", "blank", "total"
"c:\laragon\www\Duan1Nhom4\Duan1Nhom4\admin\assets\plugins\codemirror\mode\textile\textile.js", "JavaScript", 0, 0, 0, 400, 0, 0, 0, 0, 0, 2, 68, 470
"c:\laragon\www\Duan1Nhom4\Duan1Nhom4\admin\assets\plugins\codemirror\mode\tiddlywiki\tiddlywiki.css", "CSS", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 1, 15
"c:\laragon\www\Duan1Nhom4\Duan1Nhom4\admin\assets\plugins\codemirror\mode\tiddlywiki\tiddlywiki.js", "JavaScript", 0, 0, 0, 230, 0, 0, 0, 0, 0, 35, 44, 309
"c:\laragon\www\Duan1Nhom4\Duan1Nhom4\admin\assets\plugins\codemirror\mode\tiki\tiki.css", "CSS", 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 4, 26
"c:\laragon\www\Duan1Nhom4\Duan1Nhom4\admin\assets\plugins\codemirror\mode\tiki\tiki.js", "JavaScript", 0, 0, 0, 274, 0, 0, 0, 0, 0, 9, 30, 313
"c:\laragon\www\Duan1Nhom4\Duan1Nhom4\admin\assets\plugins\codemirror\mode\toml\toml.js", "JavaScript", 0, 0, 0, 79, 0, 0, 0, 0, 0, 5, 5, 89
"c:\laragon\www\Duan1Nhom4\Duan1Nhom4\admin\assets\plugins\codemirror\mode\tornado\tornado.js", "JavaScript", 0, 0, 0, 61, 0, 0, 0, 0, 0, 2, 6, 69
"c:\laragon\www\Duan1Nhom4\Duan1Nhom4\admin\assets\plugins\codemirror\mode\troff\troff.js", "JavaScript", 0, 0, 0, 72, 0, 0, 0, 0, 0, 2, 11, 85
"c:\laragon\www\Duan1Nhom4\Duan1Nhom4\admin\assets\plugins\codemirror\mode\ttcn-cfg\ttcn-cfg.js", "JavaScript", 0, 0, 0, 197, 0, 0, 0, 0, 0, 4, 13, 214
"c:\laragon\www\Duan1Nhom4\Duan1Nhom4\admin\assets\plugins\codemirror\mode\ttcn\ttcn.js", "JavaScript", 0, 0, 0, 249, 0, 0, 0, 0, 0, 4, 31, 284
"c:\laragon\www\Duan1Nhom4\Duan1Nhom4\admin\assets\plugins\codemirror\mode\turtle\turtle.js", "JavaScript", 0, 0, 0, 142, 0, 0, 0, 0, 0, 2, 19, 163
"c:\laragon\www\Duan1Nhom4\Duan1Nhom4\admin\assets\plugins\codemirror\mode\twig\twig.js", "JavaScript", 0, 0, 0, 124, 0, 0, 0, 0, 0, 8, 10, 142
"c:\laragon\www\Duan1Nhom4\Duan1Nhom4\admin\assets\plugins\codemirror\mode\vb\vb.js", "JavaScript", 0, 0, 0, 210, 0, 0, 0, 0, 0, 19, 47, 276
"c:\laragon\www\Duan1Nhom4\Duan1Nhom4\admin\assets\plugins\codemirror\mode\vbscript\vbscript.js", "JavaScript", 0, 0, 0, 255, 0, 0, 0, 0, 0, 34, 62, 351
"c:\laragon\www\Duan1Nhom4\Duan1Nhom4\admin\assets\plugins\codemirror\mode\velocity\velocity.js", "JavaScript", 0, 0, 0, 174, 0, 0, 0, 0, 0, 17, 12, 203
"c:\laragon\www\Duan1Nhom4\Duan1Nhom4\admin\assets\plugins\codemirror\mode\verilog\verilog.js", "JavaScript", 0, 0, 0, 598, 0, 0, 0, 0, 0, 126, 58, 782
"c:\laragon\www\Duan1Nhom4\Duan1Nhom4\admin\assets\plugins\codemirror\mode\vhdl\vhdl.js", "JavaScript", 0, 0, 0, 168, 0, 0, 0, 0, 0, 4, 18, 190
"c:\laragon\www\Duan1Nhom4\Duan1Nhom4\admin\assets\plugins\codemirror\mode\vue\vue.js", "JavaScript", 0, 0, 0, 71, 0, 0, 0, 0, 0, 2, 5, 78
"c:\laragon\www\Duan1Nhom4\Duan1Nhom4\admin\assets\plugins\codemirror\mode\wast\wast.js", "JavaScript", 0, 0, 0, 116, 0, 0, 0, 0, 0, 8, 9, 133
"c:\laragon\www\Duan1Nhom4\Duan1Nhom4\admin\assets\plugins\codemirror\mode\webidl\webidl.js", "JavaScript", 0, 0, 0, 153, 0, 0, 0, 0, 0, 16, 27, 196
"c:\laragon\www\Duan1Nhom4\Duan1Nhom4\admin\assets\plugins\codemirror\mode\xml\xml.js", "JavaScript", 0, 0, 0, 385, 0, 0, 0, 0, 0, 5, 28, 418
"c:\laragon\www\Duan1Nhom4\Duan1Nhom4\admin\assets\plugins\codemirror\mode\xquery\xquery.js", "JavaScript", 0, 0, 0, 331, 0, 0, 0, 0, 0, 58, 60, 449
"c:\laragon\www\Duan1Nhom4\Duan1Nhom4\admin\assets\plugins\codemirror\mode\yacas\yacas.js", "JavaScript", 0, 0, 0, 150, 0, 0, 0, 0, 0, 19, 36, 205
"c:\laragon\www\Duan1Nhom4\Duan1Nhom4\admin\assets\plugins\codemirror\mode\yaml-frontmatter\yaml-frontmatter.js", "JavaScript", 0, 0, 0, 64, 0, 0, 0, 0, 0, 3, 6, 73
"c:\laragon\www\Duan1Nhom4\Duan1Nhom4\admin\assets\plugins\codemirror\mode\yaml\yaml.js", "JavaScript", 0, 0, 0, 92, 0, 0, 0, 0, 0, 16, 13, 121
"c:\laragon\www\Duan1Nhom4\Duan1Nhom4\admin\assets\plugins\codemirror\mode\z80\z80.js", "JavaScript", 0, 0, 0, 99, 0, 0, 0, 0, 0, 2, 16, 117
"c:\laragon\www\Duan1Nhom4\Duan1Nhom4\admin\assets\plugins\codemirror\theme\3024-day.css", "CSS", 0, 0, 0, 0, 24, 0, 0, 0, 0, 9, 9, 42
"c:\laragon\www\Duan1Nhom4\Duan1Nhom4\admin\assets\plugins\codemirror\theme\3024-night.css", "CSS", 0, 0, 0, 0, 24, 0, 0, 0, 0, 9, 7, 40
"c:\laragon\www\Duan1Nhom4\Duan1Nhom4\admin\assets\plugins\codemirror\theme\abbott.css", "CSS", 0, 0, 0, 0, 130, 0, 0, 0, 0, 97, 42, 269
"c:\laragon\www\Duan1Nhom4\Duan1Nhom4\admin\assets\plugins\codemirror\theme\abcdef.css", "CSS", 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 3, 33
"c:\laragon\www\Duan1Nhom4\Duan1Nhom4\admin\assets\plugins\codemirror\theme\ambiance-mobile.css", "CSS", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 1, 6
"c:\laragon\www\Duan1Nhom4\Duan1Nhom4\admin\assets\plugins\codemirror\theme\ambiance.css", "CSS", 0, 0, 0, 0, 58, 0, 0, 0, 0, 3, 14, 75
"c:\laragon\www\Duan1Nhom4\Duan1Nhom4\admin\assets\plugins\codemirror\theme\ayu-dark.css", "CSS", 0, 0, 0, 0, 37, 0, 0, 0, 0, 1, 7, 45
"c:\laragon\www\Duan1Nhom4\Duan1Nhom4\admin\assets\plugins\codemirror\theme\ayu-mirage.css", "CSS", 0, 0, 0, 0, 38, 0, 0, 0, 0, 1, 7, 46
"c:\laragon\www\Duan1Nhom4\Duan1Nhom4\admin\assets\plugins\codemirror\theme\base16-dark.css", "CSS", 0, 0, 0, 0, 26, 0, 0, 0, 0, 9, 6, 41
"c:\laragon\www\Duan1Nhom4\Duan1Nhom4\admin\assets\plugins\codemirror\theme\base16-light.css", "CSS", 0, 0, 0, 0, 24, 0, 0, 0, 0, 9, 6, 39
"c:\laragon\www\Duan1Nhom4\Duan1Nhom4\admin\assets\plugins\codemirror\theme\bespin.css", "CSS", 0, 0, 0, 0, 20, 0, 0, 0, 0, 9, 6, 35
"c:\laragon\www\Duan1Nhom4\Duan1Nhom4\admin\assets\plugins\codemirror\theme\blackboard.css", "CSS", 0, 0, 0, 0, 28, 0, 0, 0, 0, 1, 4, 33
"c:\laragon\www\Duan1Nhom4\Duan1Nhom4\admin\assets\plugins\codemirror\theme\cobalt.css", "CSS", 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 3, 26
"c:\laragon\www\Duan1Nhom4\Duan1Nhom4\admin\assets\plugins\codemirror\theme\colorforth.css", "CSS", 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 7, 34
"c:\laragon\www\Duan1Nhom4\Duan1Nhom4\admin\assets\plugins\codemirror\theme\darcula.css", "CSS", 0, 0, 0, 0, 43, 0, 0, 0, 0, 4, 7, 54
"c:\laragon\www\Duan1Nhom4\Duan1Nhom4\admin\assets\plugins\codemirror\theme\dracula.css", "CSS", 0, 0, 0, 0, 29, 0, 0, 0, 0, 8, 4, 41
"c:\laragon\www\Duan1Nhom4\Duan1Nhom4\admin\assets\plugins\codemirror\theme\duotone-dark.css", "CSS", 0, 0, 0, 0, 19, 0, 0, 0, 0, 9, 8, 36
"c:\laragon\www\Duan1Nhom4\Duan1Nhom4\admin\assets\plugins\codemirror\theme\duotone-light.css", "CSS", 0, 0, 0, 0, 18, 0, 0, 0, 0, 10, 9, 37
"c:\laragon\www\Duan1Nhom4\Duan1Nhom4\admin\assets\plugins\codemirror\theme\eclipse.css", "CSS", 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 2, 24
"c:\laragon\www\Duan1Nhom4\Duan1Nhom4\admin\assets\plugins\codemirror\theme\elegant.css", "CSS", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 2, 14
"c:\laragon\www\Duan1Nhom4\Duan1Nhom4\admin\assets\plugins\codemirror\theme\erlang-dark.css", "CSS", 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 3, 35
"c:\laragon\www\Duan1Nhom4\Duan1Nhom4\admin\assets\plugins\codemirror\theme\gruvbox-dark.css", "CSS", 0, 0, 0, 0, 26, 0, 0, 0, 0, 8, 6, 40
